session_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
ACWT01a,0.0028145893,0.7,0.20549482,0.0952,0.6692,0.06580452,0.5,0.4002448,0.1765,0.7843,0.0021613126,0.6,0.31906134,0.0,0.9841,0.13427679,0.0,0.32646662,0.0,0.8214,0.026174502,0.0,0.15074074,0.0,0.8571,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.68201286,1.0,0.0,0.0,0.19916,0.1833844,0.29673135,0.44904643,0.22651808,0.13724998,0.022003971
ACWT02a,0.002775463,0.8,0.28202975,0.2353,0.7538,0.114248574,0.7273,0.47205222,0.2143,0.7343,0.0029267422,1.0,0.4664471,0.1111,0.6811,0.190181,0.6,0.4684281,0.21433929,0.6269,0.006377997,0.0,0.45222223,0.29557145,0.5674,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7965738,1.0,0.0,0.0,0.12896,0.38739318,0.46712887,0.5818655,0.72240764,0.6790707,0.027617218
ACWT03a,0.0016151271,0.5,0.15335016,0.0,0.7164,0.014097184,0.2273,0.23133415,0.0,1.0,0.013099483,0.6,0.24701522,0.0,1.0,0.065569885,0.0,0.19390953,0.0,1.0,0.0053831087,0.0,0.11111111,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7398287,1.0,0.0,0.0,0.05348,0.16108389,0.16721904,0.0,0.095938556,0.029142559,0.052200954
ACWT05a,0.0009543368,0.3,0.10513037,0.0,0.85,0.03884339,0.0909,0.15381476,0.0,0.7917,0.0034562277,0.6,0.08233841,0.0,1.0,0.123564854,0.2,0.14330497,0.0,1.0,0.01614425,0.0,0.14444445,0.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.61563164,1.0,0.0,0.0,0.24538,0.14212695,0.15814553,0.052854054,0.21075222,0.17498437,0.028767461
ACWT08a,0.0025280158,0.0,0.08634707,0.0,0.0,0.06420786,0.0,0.14524683,0.0,0.75,0.0071691647,0.0,0.16467682,0.0,0.0,0.14880908,0.0,0.17913121,0.0,1.0,0.015329336,0.0,0.13592593,0.0,0.9333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43147752,1.0,0.0,0.0,0.1924,0.09558791,0.071903594,0.0,0.19081253,0.09667099,0.019766044
ACWT09a,0.0048246626,0.9,0.19147745,0.2093,0.5752,0.15907384,0.7727,0.3015096,0.16,0.6874,0.0026443847,1.0,0.32358995,0.1429,0.891,0.39429477,1.0,0.22660097,0.15569222,0.6199,0.0128177,0.0,0.19000001,0.068,0.6518,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.85546035,1.0,0.0,0.0,0.1854,0.19315751,0.2966064,0.15110609,0.31601003,0.22543234,0.0106800515
ACWT10a,0.002533118,0.6,0.143538,0.04,0.7833,0.11707111,0.4091,0.2855977,0.0,0.65,0.005175188,0.6,0.19226019,0.0,0.85,0.28191626,0.2,0.28168383,0.0,0.8333,0.029220471,0.0,0.22222222,0.0,0.9538,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.61241966,1.0,0.0,0.0,0.19744,0.19075243,0.27618825,0.11892162,0.28564426,0.21622127,0.016706452
ACWT11a,0.0049850745,0.6,0.21502665,0.1406,0.5989,0.15069386,0.6818,0.35781315,0.2118,0.6056,0.0026389307,0.6,0.24454507,0.0588,0.6889,0.50092703,0.6,0.37931034,0.33328333,0.5974,0.032023527,0.0,0.36925927,0.42014286,0.6539,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.52141327,1.0,0.0,0.0,0.34114,0.26238552,0.2728957,0.2032818,0.432674,0.36897138,0.0117159
ACWT12a,0.0074040033,0.8,0.4418279,0.2,0.7153,0.25113147,0.9091,0.7698899,0.6667,0.6679,0.0051823384,0.6,0.40139973,0.25,1.0,0.51633763,0.6,0.687416,0.57687116,0.6464,0.008724581,0.0,0.3288889,0.2747143,0.6146,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.84903634,1.0,0.0,0.0,0.57528,0.33431545,0.5846989,0.22203973,0.7878875,0.45994028,0.02423927
adler01a,0.005477832,0.6,0.30277547,0.28,0.7638,0.23651762,0.7273,0.53039575,0.2273,0.7104,0.006365764,0.6,0.22643062,0.0,0.85,0.54961145,1.0,0.4621585,0.29293534,0.6346,0.026295064,0.0,0.41666666,0.49114287,0.7324,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.92719483,1.0,0.0,0.0,0.55968,0.23375149,0.39248148,0.14015181,0.5208817,0.5000935,0.007593184
