participant_id,mlu_words,mlu_morphemes,ttr,total_tokens,ndw,n_utterances
ACWT01a,4.708,4.908,0.3661,407,149,65
ACWT02a,6.694,7.066,0.4255,919,391,121
ACWT03a,2.806,3.028,0.4775,111,53,36
ACWT04a,7.468,7.87,0.3625,662,240,77
ACWT05a,2.667,1.922,0.2857,196,56,51
ACWT07a,5.304,5.848,0.3916,286,112,46
ACWT08a,2.236,2.582,0.1836,207,38,55
ACWT09a,3.803,3.893,0.2156,2301,496,488
ACWT10a,3.904,3.787,0.2742,507,139,94
ACWT11a,5.369,5.823,0.2226,1770,394,260
ACWT12a,6.239,7.353,0.2807,1703,478,238
adler01a,6.599,7.44,0.2399,1726,414,207
adler02a,5.606,6.317,0.1297,2860,371,360
adler03a,8.596,9.96,0.2396,1444,346,151
adler04a,6.516,7.621,0.3274,730,239,95
adler05a,6.059,7.178,0.2834,1496,424,219
adler06a,6.69,7.833,0.3761,593,223,84
adler07a,7.643,9.012,0.1784,3402,607,423
adler08a,6.25,6.85,0.2469,875,216,120
adler09a,9.161,8.175,0.1711,2291,392,217
adler10a,3.037,2.822,0.3268,407,133,107
adler11a,1.485,1.243,0.1822,214,39,103
adler12a,8.312,8.701,0.2885,1279,369,144
adler13a,2.74,2.412,0.1218,1108,135,277
adler14a,6.191,6.564,0.251,1721,432,236
adler15a,6.115,7.172,0.2126,3043,647,453
adler16a,6.225,6.506,0.25,676,169,89
adler17a,6.244,6.821,0.2199,2619,576,357
adler18a,6.632,7.015,0.3303,542,179,68
adler19a,3.814,3.698,0.3871,186,72,43
adler20a,7.269,8.151,0.338,935,316,119
adler21a,5.321,5.765,0.282,1156,326,187
adler22a,8.417,9.795,0.2932,1320,387,127
adler23a,5.342,6.168,0.2125,1595,339,202
adler24a,8.133,8.967,0.3428,528,181,60
adler25a,5.075,5.019,0.2956,1228,363,160
Baycrest10306a,12.075,14.194,0.3709,906,336,67
Baycrest10347a,9.122,10.898,0.3684,950,350,98
Baycrest10599a,10.282,12.282,0.307,1583,486,149
Baycrest10631a,8.838,10.473,0.4306,757,326,74
Baycrest10668a,10.875,12.857,0.4219,647,273,56
Baycrest11257a,9.287,10.815,0.352,1017,358,108
Baycrest1144a,9.049,10.621,0.2361,2228,526,224
Baycrest11752a,11.251,13.497,0.2827,2006,567,171
Baycrest11841a,8.96,10.892,0.3109,1663,517,176
Baycrest12073a,7.678,9.191,0.3151,1260,397,152
Baycrest12158a,10.207,12.086,0.4867,637,310,58
Baycrest12269a,10.126,12.189,0.3096,1095,339,95
Baycrest12272a,9.596,11.615,0.4227,556,235,52
Baycrest12370a,6.977,8.477,0.4735,340,161,44
Baycrest2571a,8.093,9.56,0.3963,646,256,75
Baycrest6819a,8.455,9.941,0.267,1820,486,202
Baycrest7522a,7.516,8.835,0.365,726,265,91
Baycrest7546a,11.023,13.295,0.4184,533,223,44
Baycrest8149a,10.058,11.942,0.4193,601,252,52
Baycrest8673a,8.539,10.191,0.3964,772,306,89
Baycrest10450a,5.789,6.684,0.2496,585,146,95
Baycrest10634a,6.546,7.699,0.2535,1483,376,216
Baycrest10827a,8.491,10.018,0.2879,1087,313,114
Baycrest11154a,6.908,8.109,0.2803,1402,393,174
Baycrest11254a,2.917,3.303,0.2462,390,96,109
Baycrest11458a,3.4,4.133,0.2102,628,132,105
Baycrest12072a,5.673,6.735,0.4833,329,159,49
Baycrest12207a,2.508,2.984,0.239,205,49,61
Baycrest12288a,5.977,6.988,0.2262,1282,290,172
Baycrest12307a,7.041,8.29,0.2961,1199,355,145
Baycrest12308a,4.783,5.391,0.4739,249,118,46
Baycrest12331a,7.754,9.0,0.2948,1211,357,138
Baycrest9336a,6.461,7.303,0.2461,1333,328,165
Baycrest9772a,8.033,9.667,0.4549,277,126,30
BU01a,8.109,9.242,0.186,3570,664,393
BU02a,5.322,5.522,0.2715,733,199,90
BU03a,8.423,8.577,0.3257,743,242,71
BU04a,5.619,6.253,0.1923,2413,464,367
BU05a,5.524,6.014,0.2311,1441,333,208
BU06a,10.229,11.386,0.3139,857,269,70
BU07a,4.79,4.725,0.24,921,221,167
BU08a,3.901,3.851,0.3061,758,232,141
BU09a,8.116,9.344,0.1465,3973,582,439
BU10a,5.257,5.174,0.2527,1464,370,253
BU11a,8.801,9.605,0.1919,3669,704,382
BU12a,7.729,8.436,0.2427,1908,463,188
capilouto01a,10.853,12.831,0.2951,1569,463,136
